bill_id,model,session,classification,jurisdiction,jurisdiction_code,introduced_chamber,title,first_date,curated,has_ai_ads,has_government_scope,has_ai_governance_body,has_harmonization,ai_governance_body_names,excerpt_government_scope,excerpt_harmonization
VT_[2023-2024]_H-710,gpt-3.5-turbo-0125,2023-2024,['bill'],Vermont,VT,House,An act relating to regulating developers and deployers of certain artificial intelligence systems,2024-01-09,True,True,False,False,False,,,
VT_[2023-2024]_H-114,gpt-3.5-turbo-0125,2023-2024,['bill'],Vermont,VT,House,An act relating to restricting electronic monitoring of employees and employment-related automated decision systems,2023-01-26,True,True,False,False,False,,,
VT_[2023-2024]_H-711,gpt-3.5-turbo-0125,2023-2024,['bill'],Vermont,VT,House,An act relating to creating oversight and liability standards for developers and deployers of inherently dangerous artificial intelligence systems,2024-01-09,True,True,False,False,False,,,
VA_[2024]_HB-747,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,"Artificial Intelligence Developer Act; established, civil penalty.",2024-01-09,True,True,False,False,False,,,
VA_[2024]_HB-249,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,Law-enforcement agencies; use of generative artificial intelligence and machine learning systems.,2024-01-04,True,True,True,False,False,,"provides that the department of criminal justice services shall have the power and duty to establish a comprehensive framework for the use of generative artificial intelligence (ai) and machine learning systems, both defined in the bill, by law-enforcement agencies",
VA_[2024]_HB-697,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,"Synthetic media; use in furtherance of crimes involving fraud, etc., report.",2024-01-09,True,True,False,False,False,,,
VA_[2024]_HB-87,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,Hospital regulations; patient drug testing.,2023-12-28,True,True,False,False,False,,,
VA_[2024]_HB-1498,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,Adult day care centers; name changes to adult day centers throughout the Code.,2024-01-19,True,True,False,False,False,,,
VA_[2024]_HB-1525,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,"AI-generated image; unauthorized creation of image of another, penalties.",2024-01-19,True,True,False,False,False,,,
VA_[2024]_HB-353,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,Hospitals; emergency departments to have at least one licensed physician on duty at all times.,2024-01-05,True,True,False,False,False,,,
VA_[2024]_SJ-14,gpt-3.5-turbo-0125,2024,['joint resolution'],Virginia,VA,Senate,Artificial intelligence; Joint Commission on Technology and Science to study advancements.,2024-01-04,True,True,False,False,False,,,
VA_[2024]_SB-621,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,"Artificial Intelligence, Commission on; established, report, sunset provision.",2024-01-10,True,True,True,False,False,,the purpose of the commission is to advise the governor on issues related to artificial intelligence and make advisory recommendations based on its findings.,
VA_[2024]_SB-571,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,"Synthetic media; expands applicability of provisions related to defamation, etc., penalty.",2024-01-10,True,False,False,False,False,,,
VA_[2024]_SB-487,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,Artificial intelligence by public bodies; prohibitions.,2024-01-09,True,True,True,True,False,Commission On Artificial Intelligence,"prohibits any public body from implementing any system that employs artificial intelligence, defined in the bill, unless such public body (i) performs an initial impact assessment and ongoing impact assessments of such system to ensure its use will not result in any unlawful discrimination against any individual or group of individuals or have any disparate impact on any individual or group of individuals and (ii) does not implement or ceases to use such system if such effects occur.",
VA_[2024]_SB-579,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,Nursing homes and certified nursing facilities; professional liability insurance.,2024-01-10,True,True,False,False,False,,,
